timestamp,blockReward
1686640475,0.026833235
1686640487,0.049940463
1686640499,0.014670099
1686640511,0.016399974
1686640523,0.020161741
1686640535,0.04631383
1686640547,0.02310081
1686640559,0.134097254
1686640571,0.009305812
1686640583,0.018719436
1686640595,0.080942827
1686640607,0.015283611
1686640619,0.036128686
1686640631,0.045953136
1686640643,0.015475761
1686640655,0.014393731
1686640667,0.021356567
1686640679,0.010818188
1686640691,0.016760386
1686640703,0.030434672
1686640715,0.009855015
1686640727,0.018966613
1686640751,0.248405514
1686640763,0.064494075
1686640775,0.016490709
1686640787,0.042379206
1686640799,0.029405038
1686640811,0.016916419
1686640823,0.034756325
1686640835,0.012307223
1686640859,0.038133452
1686640871,0.013779469
1686640883,0.024423273
1686640895,0.085060068
1686640907,0.022460841
1686640919,0.009162079
1686640931,0.007908664
1686640943,0.017965262
1686640955,0.018594042
1686640967,0.013074935
1686640979,0.009467423
1686640991,0.093759938
1686641003,0.017770357
1686641015,0.012746703
1686641027,0.012469074
1686641039,0.012666641
1686641051,0.0193298
1686641063,0.018294613
1686641075,0.012944163
1686641087,0.182380286
